Season,Team,Date,Next Day,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Time Fixed,Query,Query2
2018/2019,Arsenal,2019-05-05,2019-05-06,16:30 ,Matchweek 37,Sun,Home,D,1,1,Brighton,2.2,1.7,70,"59,965",Mesut Özil,4-4-2◆,Anthony Taylor,Match Report,,05-05-2019 16:30 ,Arsenal until:2019-05-05,Arsenal until:2019-05-06
2018/2019,Tottenham,2019-05-04,2019-05-05,12:30 ,Matchweek 37,Sat,Away,L,0,1,Bournemouth,0.7,1.6,47,"10,630",Hugo Lloris,4-2-3-1,Craig Pawson,Match Report,,05-04-2019 12:30 ,Tottenham until:2019-05-04,Tottenham until:2019-05-05
2018/2019,Arsenal,2019-04-28,2019-04-29,12:00 ,Matchweek 36,Sun,Away,L,0,3,Leicester City,0.5,2.9,34,"32,037",Granit Xhaka,4/4/2002,Michael Oliver,Match Report,,04-28-2019 12:00 ,Arsenal until:2019-04-28,Arsenal until:2019-04-29
2018/2019,Tottenham,2019-04-27,2019-04-28,12:30 ,Matchweek 36,Sat,Home,L,0,1,West Ham,1.3,1.2,62,"60,043",Hugo Lloris,4-4-2◆,Anthony Taylor,Match Report,,04-27-2019 12:30 ,Tottenham until:2019-04-27,Tottenham until:2019-04-28
2018/2019,Arsenal,2019-04-24,2019-04-25,19:45 ,Matchweek 31,Wed,Away,L,1,3,Wolves,0.7,0.9,69,"31,436",Laurent Koscielny,4-2-3-1,Stuart Attwell,Match Report,,04-24-2019 19:45 ,Arsenal until:2019-04-24,Arsenal until:2019-04-25
2018/2019,Tottenham,2019-04-23,2019-04-24,19:45 ,Matchweek 33,Tue,Home,W,1,0,Brighton,1.7,0.2,77,"56,251",Hugo Lloris,4/3/2003,Chris Kavanagh,Match Report,,04-23-2019 19:45 ,Tottenham until:2019-04-23,Tottenham until:2019-04-24
2018/2019,Arsenal,2019-04-21,2019-04-22,16:00 ,Matchweek 35,Sun,Home,L,2,3,Crystal Palace,1.2,2.2,72,"59,929",Laurent Koscielny,3-4-1-2,Jonathan Moss,Match Report,,04-21-2019 16:00 ,Arsenal until:2019-04-21,Arsenal until:2019-04-22
2018/2019,Tottenham,2019-04-20,2019-04-21,12:30 ,Matchweek 35,Sat,Away,L,0,1,Manchester City,1.3,1.9,39,"54,489",Jan Vertonghen,3/5/2002,Michael Oliver,Match Report,,04-20-2019 12:30 ,Tottenham until:2019-04-20,Tottenham until:2019-04-21
2018/2019,Arsenal,2019-04-15,2019-04-16,20:00 ,Matchweek 34,Mon,Away,W,1,0,Watford,2,0.6,65,"20,480",Laurent Koscielny,4-2-3-1,Craig Pawson,Match Report,,04-15-2019 20:00 ,Arsenal until:2019-04-15,Arsenal until:2019-04-16
2018/2019,Tottenham,2019-04-13,2019-04-14,12:30 ,Matchweek 34,Sat,Home,W,4,0,Huddersfield,2.3,0.6,69,"58,308",Hugo Lloris,3-4-1-2,Lee Mason,Match Report,,04-13-2019 12:30 ,Tottenham until:2019-04-13,Tottenham until:2019-04-14
2018/2019,Arsenal,2019-04-07,2019-04-08,14:05 ,Matchweek 33,Sun,Away,L,0,1,Everton,0.4,2.2,56,"39,400",Mesut Özil,3/4/2003,Kevin Friend,Match Report,,04-07-2019 14:05 ,Arsenal until:2019-04-07,Arsenal until:2019-04-08
2018/2019,Tottenham,2019-04-03,2019-04-04,19:45 ,Matchweek 31,Wed,Home,W,2,0,Crystal Palace,2.5,0.5,66,"59,215",Hugo Lloris,4-2-3-1,Andre Marriner,Match Report,,04-03-2019 19:45 ,Tottenham until:2019-04-03,Tottenham until:2019-04-04
2018/2019,Arsenal,2019-04-01,2019-04-02,20:00 ,Matchweek 32,Mon,Home,W,2,0,Newcastle Utd,0.9,0.1,70,"59,869",Aaron Ramsey,3/4/2003,Anthony Taylor,Match Report,,04-01-2019 20:00 ,Arsenal until:2019-04-01,Arsenal until:2019-04-02
2018/2019,Tottenham,2019-03-31,2019-04-01,16:30 ,Matchweek 32,Sun,Away,L,1,2,Liverpool,1.4,0.9,51,"53,322",Hugo Lloris,3/5/2002,Martin Atkinson,Match Report,,03-31-2019 16:30 ,Tottenham until:2019-03-31,Tottenham until:2019-04-01
2018/2019,Arsenal,2019-03-10,2019-03-11,16:30 ,Matchweek 30,Sun,Home,W,2,0,Manchester Utd,1.5,1.6,46,"60,000",Laurent Koscielny,3-4-1-2,Jonathan Moss,Match Report,,03-10-2019 16:30 ,Arsenal until:2019-03-10,Arsenal until:2019-03-11
2018/2019,Tottenham,2019-03-09,2019-03-10,15:00 ,Matchweek 30,Sat,Away,L,1,2,Southampton,1,1.2,62,"31,890",Hugo Lloris,4-4-2◆,Kevin Friend,Match Report,,03-09-2019 15:00 ,Tottenham until:2019-03-09,Tottenham until:2019-03-10
2018/2019,Arsenal,2019-03-02,2019-03-03,12:30 ,Matchweek 29,Sat,Away,D,1,1,Tottenham,2.4,1.3,40,"81,332",Laurent Koscielny,4-2-3-1,Anthony Taylor,Match Report,,03-02-2019 12:30 ,Arsenal until:2019-03-02,Arsenal until:2019-03-03
2018/2019,Tottenham,2019-03-02,2019-03-03,12:30 ,Matchweek 29,Sat,Home,D,1,1,Arsenal,1.3,2.4,60,"81,332",Hugo Lloris,3-4-1-2,Anthony Taylor,Match Report,,03-02-2019 12:30 ,Tottenham until:2019-03-02,Tottenham until:2019-03-03
2018/2019,Arsenal,2019-02-27,2019-02-28,19:45 ,Matchweek 28,Wed,Home,W,5,1,Bournemouth,3.2,1.3,64,"59,618",Laurent Koscielny,3/4/2003,Chris Kavanagh,Match Report,,02-27-2019 19:45 ,Arsenal until:2019-02-27,Arsenal until:2019-02-28
2018/2019,Tottenham,2019-02-27,2019-02-28,20:00 ,Matchweek 28,Wed,Away,L,0,2,Chelsea,0.5,0.6,53,"40,542",Hugo Lloris,4-2-3-1,Andre Marriner,Match Report,,02-27-2019 20:00 ,Tottenham until:2019-02-27,Tottenham until:2019-02-28
2018/2019,Arsenal,2019-02-24,2019-02-25,14:05 ,Matchweek 27,Sun,Home,W,2,0,Southampton,2.1,0.9,62,"59,877",Aaron Ramsey,4-2-3-1,Graham Scott,Match Report,,02-24-2019 14:05 ,Arsenal until:2019-02-24,Arsenal until:2019-02-25
2018/2019,Tottenham,2019-02-23,2019-02-24,12:30 ,Matchweek 27,Sat,Away,L,1,2,Burnley,0.9,1.3,69,"21,338",Hugo Lloris,3-2-2-1-2,Mike Dean,Match Report,,02-23-2019 12:30 ,Tottenham until:2019-02-23,Tottenham until:2019-02-24
2018/2019,Tottenham,2019-02-10,2019-02-11,13:30 ,Matchweek 26,Sun,Home,W,3,1,Leicester City,1.1,2.5,52,"44,154",Hugo Lloris,4-4-2◆,Michael Oliver,Match Report,,02-10-2019 13:30 ,Tottenham until:2019-02-10,Tottenham until:2019-02-11
2018/2019,Arsenal,2019-02-09,2019-02-10,15:00 ,Matchweek 26,Sat,Away,W,2,1,Huddersfield,2,1.2,44,"24,182",Laurent Koscielny,3/4/2003,Jonathan Moss,Match Report,,02-09-2019 15:00 ,Arsenal until:2019-02-09,Arsenal until:2019-02-10
2018/2019,Arsenal,2019-02-03,2019-02-04,16:30 ,Matchweek 25,Sun,Away,L,1,3,Manchester City,0.8,3.2,41,"54,483",Laurent Koscielny,4/4/2002,Martin Atkinson,Match Report,,02-03-2019 16:30 ,Arsenal until:2019-02-03,Arsenal until:2019-02-04
2018/2019,Tottenham,2019-02-02,2019-02-03,12:30 ,Matchweek 25,Sat,Home,W,1,0,Newcastle Utd,2.4,0.5,72,"41,219",Hugo Lloris,4-2-3-1,Andre Marriner,Match Report,,02-02-2019 12:30 ,Tottenham until:2019-02-02,Tottenham until:2019-02-03
2018/2019,Tottenham,2019-01-30,2019-01-31,20:00 ,Matchweek 24,Wed,Home,W,2,1,Watford,1.5,0.5,67,"29,164",Hugo Lloris,3/5/2002,Graham Scott,Match Report,,01-30-2019 20:00 ,Tottenham until:2019-01-30,Tottenham until:2019-01-31
2018/2019,Arsenal,2019-01-29,2019-01-30,19:45 ,Matchweek 24,Tue,Home,W,2,1,Cardiff City,2,0.8,69,"59,933",Mesut Özil,4-4-2◆,Mike Dean,Match Report,,01-29-2019 19:45 ,Arsenal until:2019-01-29,Arsenal until:2019-01-30
2018/2019,Tottenham,2019-01-20,2019-01-21,16:00 ,Matchweek 23,Sun,Away,W,2,1,Fulham,1.3,1,71,"24,807",Hugo Lloris,3/4/2003,Craig Pawson,Match Report,,01-20-2019 16:00 ,Tottenham until:2019-01-20,Tottenham until:2019-01-21
2018/2019,Arsenal,2019-01-19,2019-01-20,17:30 ,Matchweek 23,Sat,Home,W,2,0,Chelsea,1.6,0.7,37,"59,979",Laurent Koscielny,4-4-2◆,Anthony Taylor,Match Report,,01-19-2019 17:30 ,Arsenal until:2019-01-19,Arsenal until:2019-01-20
2018/2019,Tottenham,2019-01-13,2019-01-14,16:30 ,Matchweek 22,Sun,Home,L,0,1,Manchester Utd,2.3,1.3,62,"80,062",Hugo Lloris,4-4-2◆,Mike Dean,Match Report,,01-13-2019 16:30 ,Tottenham until:2019-01-13,Tottenham until:2019-01-14
2018/2019,Arsenal,2019-01-12,2019-01-13,12:30 ,Matchweek 22,Sat,Away,L,0,1,West Ham,0.8,0.7,58,"59,946",Laurent Koscielny,3/4/2003,Jonathan Moss,Match Report,,01-12-2019 12:30 ,Arsenal until:2019-01-12,Arsenal until:2019-01-13
2018/2019,Arsenal,2019-01-01,2019-01-02,15:00 ,Matchweek 21,Tue,Home,W,4,1,Fulham,2.8,1.5,59,"59,887",Laurent Koscielny,3/4/2003,Graham Scott,Match Report,,01-01-2019 15:00 ,Arsenal until:2019-01-01,Arsenal until:2019-01-02
2018/2019,Tottenham,2019-01-01,2019-01-02,17:30 ,Matchweek 21,Tue,Away,W,3,0,Cardiff City,1.3,0.5,73,"32,485",Hugo Lloris,4-4-2◆,Kevin Friend,Match Report,,01-01-2019 17:30 ,Tottenham until:2019-01-01,Tottenham until:2019-01-02
2018/2019,Arsenal,2018-12-29,2018-12-30,17:30 ,Matchweek 20,Sat,Away,L,1,5,Liverpool,1.2,4.1,52,"53,326",Aaron Ramsey,4-2-3-1,Michael Oliver,Match Report,,12-29-2018 17:30 ,Arsenal until:2018-12-29,Arsenal until:2018-12-30
2018/2019,Tottenham,2018-12-29,2018-12-30,15:00 ,Matchweek 20,Sat,Home,L,1,3,Wolves,0.3,1.1,61,"46,356",Hugo Lloris,4-4-2◆,Stuart Attwell,Match Report,,12-29-2018 15:00 ,Tottenham until:2018-12-29,Tottenham until:2018-12-30
2018/2019,Arsenal,2018-12-26,2018-12-27,17:15 ,Matchweek 19,Wed,Away,D,1,1,Brighton,0.6,1.7,67,"30,608",Laurent Koscielny,4-4-2◆,Anthony Taylor,Match Report,,12-26-2018 17:15 ,Arsenal until:2018-12-26,Arsenal until:2018-12-27
2018/2019,Tottenham,2018-12-26,2018-12-27,15:00 ,Matchweek 19,Wed,Home,W,5,0,Bournemouth,1.9,1.4,56,"45,154",Hugo Lloris,4-2-3-1,Chris Kavanagh,Match Report,,12-26-2018 15:00 ,Tottenham until:2018-12-26,Tottenham until:2018-12-27
2018/2019,Tottenham,2018-12-23,2018-12-24,16:00 ,Matchweek 18,Sun,Away,W,6,2,Everton,2.7,0.7,59,"39,319",Hugo Lloris,4-4-2◆,Paul Tierney,Match Report,,12-23-2018 16:00 ,Tottenham until:2018-12-23,Tottenham until:2018-12-24
2018/2019,Arsenal,2018-12-22,2018-12-23,12:30 ,Matchweek 18,Sat,Home,W,3,1,Burnley,1.6,1,60,"59,493",Mesut Özil,4-4-2◆,Kevin Friend,Match Report,,12-22-2018 12:30 ,Arsenal until:2018-12-22,Arsenal until:2018-12-23
2018/2019,Arsenal,2018-12-16,2018-12-17,13:30 ,Matchweek 17,Sun,Away,L,2,3,Southampton,1.5,1,65,"29,497",Laurent Koscielny,3/4/2003,Chris Kavanagh,Match Report,,12-16-2018 13:30 ,Arsenal until:2018-12-16,Arsenal until:2018-12-17
2018/2019,Tottenham,2018-12-15,2018-12-16,15:00 ,Matchweek 17,Sat,Home,W,1,0,Burnley,2,0.3,69,"41,645",Hugo Lloris,4-2-3-1,Graham Scott,Match Report,,12-15-2018 15:00 ,Tottenham until:2018-12-15,Tottenham until:2018-12-16
2018/2019,Arsenal,2018-12-08,2018-12-09,15:00 ,Matchweek 16,Sat,Home,W,1,0,Huddersfield,1.9,0.4,61,"59,893",Granit Xhaka,3/5/2002,Paul Tierney,Match Report,,12-08-2018 15:00 ,Arsenal until:2018-12-08,Arsenal until:2018-12-09
2018/2019,Tottenham,2018-12-08,2018-12-09,19:45 ,Matchweek 16,Sat,Away,W,2,0,Leicester City,0.7,0.4,56,"31,957",Hugo Lloris,4-2-3-1,Craig Pawson,Match Report,,12-08-2018 19:45 ,Tottenham until:2018-12-08,Tottenham until:2018-12-09
2018/2019,Arsenal,2018-12-05,2018-12-06,20:00 ,Matchweek 15,Wed,Away,D,2,2,Manchester Utd,1.1,1.2,55,"74,507",Aaron Ramsey,3/4/2003,Andre Marriner,Match Report,,12-05-2018 20:00 ,Arsenal until:2018-12-05,Arsenal until:2018-12-06
2018/2019,Tottenham,2018-12-05,2018-12-06,20:00 ,Matchweek 15,Wed,Home,W,3,1,Southampton,1.4,2.3,52,"33,012",Hugo Lloris,4-2-3-1,Anthony Taylor,Match Report,,12-05-2018 20:00 ,Tottenham until:2018-12-05,Tottenham until:2018-12-06
2018/2019,Arsenal,2018-12-02,2018-12-03,14:05 ,Matchweek 14,Sun,Home,W,4,2,Tottenham,2.6,1.2,59,"59,973",Granit Xhaka,3/4/2003,Mike Dean,Match Report,,12-02-2018 14:05 ,Arsenal until:2018-12-02,Arsenal until:2018-12-03
2018/2019,Tottenham,2018-12-02,2018-12-03,14:05 ,Matchweek 14,Sun,Away,L,2,4,Arsenal,1.2,2.6,41,"59,973",Hugo Lloris,4-4-2◆,Mike Dean,Match Report,,12-02-2018 14:05 ,Tottenham until:2018-12-02,Tottenham until:2018-12-03
2018/2019,Arsenal,2018-11-25,2018-11-26,13:30 ,Matchweek 13,Sun,Away,W,2,1,Bournemouth,1.8,0.7,57,"10,792",Granit Xhaka,3/4/2003,Craig Pawson,Match Report,,11-25-2018 13:30 ,Arsenal until:2018-11-25,Arsenal until:2018-11-26
2018/2019,Tottenham,2018-11-24,2018-11-25,17:30 ,Matchweek 13,Sat,Home,W,3,1,Chelsea,2.5,0.8,40,"55,465",Hugo Lloris,4-4-2◆,Martin Atkinson,Match Report,,11-24-2018 17:30 ,Tottenham until:2018-11-24,Tottenham until:2018-11-25
2018/2019,Arsenal,2018-11-11,2018-11-12,16:30 ,Matchweek 12,Sun,Home,D,1,1,Wolves,1.4,1.6,70,"60,030",Mesut Özil,4-2-3-1,Stuart Attwell,Match Report,,11-11-2018 16:30 ,Arsenal until:2018-11-11,Arsenal until:2018-11-12
2018/2019,Tottenham,2018-11-10,2018-11-11,17:30 ,Matchweek 12,Sat,Away,W,1,0,Crystal Palace,1.3,1,63,"25,685",Hugo Lloris,4-2-3-1,Jonathan Moss,Match Report,,11-10-2018 17:30 ,Tottenham until:2018-11-10,Tottenham until:2018-11-11
2018/2019,Arsenal,2018-11-03,2018-11-04,17:30 ,Matchweek 11,Sat,Home,D,1,1,Liverpool,1.4,1.5,62,"59,993",Mesut Özil,4-2-3-1,Andre Marriner,Match Report,,11-03-2018 17:30 ,Arsenal until:2018-11-03,Arsenal until:2018-11-04
2018/2019,Tottenham,2018-11-03,2018-11-04,19:45 ,Matchweek 11,Sat,Away,W,3,2,Wolves,1.2,2.5,51,"31,185",Hugo Lloris,4-3-2-1,Mike Dean,Match Report,,11-03-2018 19:45 ,Tottenham until:2018-11-03,Tottenham until:2018-11-04
2018/2019,Tottenham,2018-10-29,2018-10-30,20:00 ,Matchweek 10,Mon,Home,L,0,1,Manchester City,0.7,1.5,49,"56,854",Hugo Lloris,4-2-3-1,Kevin Friend,Match Report,,10-29-2018 20:00 ,Tottenham until:2018-10-29,Tottenham until:2018-10-30
2018/2019,Arsenal,2018-10-28,2018-10-29,13:30 ,Matchweek 10,Sun,Away,D,2,2,Crystal Palace,0.9,2.2,56,"25,718",Mesut Özil,4-2-3-1,Martin Atkinson,Match Report,,10-28-2018 13:30 ,Arsenal until:2018-10-28,Arsenal until:2018-10-29
2018/2019,Arsenal,2018-10-22,2018-10-23,20:00 ,Matchweek 9,Mon,Home,W,3,1,Leicester City,3.2,0.7,68,"59,886",Mesut Özil,4-2-3-1,Chris Kavanagh,Match Report,,10-22-2018 20:00 ,Arsenal until:2018-10-22,Arsenal until:2018-10-23
2018/2019,Tottenham,2018-10-20,2018-10-21,15:00 ,Matchweek 9,Sat,Away,W,1,0,West Ham,1.6,1,56,"56,921",Hugo Lloris,4-3-2-1,Martin Atkinson,Match Report,,10-20-2018 15:00 ,Tottenham until:2018-10-20,Tottenham until:2018-10-21
2018/2019,Arsenal,2018-10-07,2018-10-08,12:00 ,Matchweek 8,Sun,Away,W,5,1,Fulham,1.5,0.9,52,"25,401",Granit Xhaka,4/4/2002,Paul Tierney,Match Report,,10-07-2018 12:00 ,Arsenal until:2018-10-07,Arsenal until:2018-10-08
2018/2019,Tottenham,2018-10-06,2018-10-07,15:00 ,Matchweek 8,Sat,Home,W,1,0,Cardiff City,2.2,1,75,"43,268",Hugo Lloris,4/4/2002,Mike Dean,Match Report,,10-06-2018 15:00 ,Tottenham until:2018-10-06,Tottenham until:2018-10-07
2018/2019,Arsenal,2018-09-29,2018-09-30,15:00 ,Matchweek 7,Sat,Home,W,2,0,Watford,1.6,1.5,63,"60,019",Petr Čech,4-2-3-1,Anthony Taylor,Match Report,,09-29-2018 15:00 ,Arsenal until:2018-09-29,Arsenal until:2018-09-30
2018/2019,Tottenham,2018-09-29,2018-09-30,15:00 ,Matchweek 7,Sat,Away,W,2,0,Huddersfield,1.9,0.4,48,"23,885",Harry Kane,3/4/2003,Craig Pawson,Match Report,,09-29-2018 15:00 ,Tottenham until:2018-09-29,Tottenham until:2018-09-30
2018/2019,Arsenal,2018-09-23,2018-09-24,16:00 ,Matchweek 6,Sun,Home,W,2,0,Everton,0.9,0.7,61,"59,964",Petr Čech,4-2-3-1,Jonathan Moss,Match Report,,09-23-2018 16:00 ,Arsenal until:2018-09-23,Arsenal until:2018-09-24
2018/2019,Tottenham,2018-09-22,2018-09-23,17:30 ,Matchweek 6,Sat,Away,W,2,1,Brighton,2.1,0.8,70,"30,531",Harry Kane,4-2-3-1,Chris Kavanagh,Match Report,,09-22-2018 17:30 ,Tottenham until:2018-09-22,Tottenham until:2018-09-23
2018/2019,Arsenal,2018-09-15,2018-09-16,15:00 ,Matchweek 5,Sat,Away,W,2,1,Newcastle Utd,1.1,0.4,63,"52,165",Petr Čech,4-2-3-1,Lee Probert,Match Report,,09-15-2018 15:00 ,Arsenal until:2018-09-15,Arsenal until:2018-09-16
2018/2019,Tottenham,2018-09-15,2018-09-16,12:30 ,Matchweek 5,Sat,Home,L,1,2,Liverpool,1.4,2.5,60,"80,188",Harry Kane,4-4-2◆,Michael Oliver,Match Report,,09-15-2018 12:30 ,Tottenham until:2018-09-15,Tottenham until:2018-09-16
2018/2019,Arsenal,2018-09-02,2018-09-03,13:30 ,Matchweek 4,Sun,Away,W,3,2,Cardiff City,1.5,1.4,72,"32,316",Petr Čech,4-2-3-1,Anthony Taylor,Match Report,,09-02-2018 13:30 ,Arsenal until:2018-09-02,Arsenal until:2018-09-03
2018/2019,Tottenham,2018-09-02,2018-09-03,16:00 ,Matchweek 4,Sun,Away,L,1,2,Watford,0.6,0.4,66,"20,141",Harry Kane,3/5/2002,Andre Marriner,Match Report,,09-02-2018 16:00 ,Tottenham until:2018-09-02,Tottenham until:2018-09-03
2018/2019,Tottenham,2018-08-27,2018-08-28,20:00 ,Matchweek 3,Mon,Away,W,3,0,Manchester Utd,1.4,1.8,44,"74,400",Hugo Lloris,4-4-2◆,Craig Pawson,Match Report,,08-27-2018 20:00 ,Tottenham until:2018-08-27,Tottenham until:2018-08-28
2018/2019,Arsenal,2018-08-25,2018-08-26,15:00 ,Matchweek 3,Sat,Home,W,3,1,West Ham,1.8,1.6,61,"59,830",Petr Čech,4-2-3-1,Graham Scott,Match Report,,08-25-2018 15:00 ,Arsenal until:2018-08-25,Arsenal until:2018-08-26
2018/2019,Arsenal,2018-08-18,2018-08-19,17:30 ,Matchweek 2,Sat,Away,L,2,3,Chelsea,2.1,2.6,38,"40,491",Petr Čech,4-2-3-1,Martin Atkinson,Match Report,,08-18-2018 17:30 ,Arsenal until:2018-08-18,Arsenal until:2018-08-19
2018/2019,Tottenham,2018-08-18,2018-08-19,15:00 ,Matchweek 2,Sat,Home,W,3,1,Fulham,3.1,1.2,59,"58,297",Hugo Lloris,3/5/2002,Anthony Taylor,Match Report,,08-18-2018 15:00 ,Tottenham until:2018-08-18,Tottenham until:2018-08-19
2018/2019,Arsenal,2018-08-12,2018-08-13,16:00 ,Matchweek 1,Sun,Home,L,0,2,Manchester City,0.6,1.8,43,"59,934",Petr Čech,4-2-3-1,Michael Oliver,Match Report,,08-12-2018 16:00 ,Arsenal until:2018-08-12,Arsenal until:2018-08-13
2018/2019,Tottenham,2018-08-11,2018-08-12,12:30 ,Matchweek 1,Sat,Away,W,2,1,Newcastle Utd,2,0.9,60,"51,749",Hugo Lloris,4-3-2-1,Martin Atkinson,Match Report,,08-11-2018 12:30 ,Tottenham until:2018-08-11,Tottenham until:2018-08-12
2017/2018,Arsenal,2018-05-13,2018-05-14,15:00 ,Matchweek 38,Sun,Away,W,1,0,Huddersfield,2.1,1.5,54,"24,122",Aaron Ramsey,4/3/2003,Michael Oliver,Match Report,,05-13-2018 15:00 ,Arsenal until:2018-05-13,Arsenal until:2018-05-14
